category,name,address_text,ref,campus,source
OTHER SERVICES,Childcare (Waratah),11 University Avenue,W17,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Chiropractic Clinic,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Future Students,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Graduate Research Academy,16 Wally’s Walk,N18,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Graduation Unit,12 Second Way,P16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Library (Waranara Library),16 Macquarie Walk,Q17,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Macquarie University College,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Macquarie University Incubator,8 Hadenfeld Avenue,S8,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,METS (Macquarie Engineering Technical Services),3 Science Road,K24,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Mindspot,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,MQ Academy,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Observatory (Astronomy),5 Gymnasium Road,C12,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Office of Commercialisation and Innovation,16 Wally’s Walk,N18,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Prayer Room,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Research Services,16 Wally’s Walk,N18,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Sport & Aquatic Centre,10 Gymnasium Road,J12,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Student Engagement,12 Second Way,P16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Student Services,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Walanga Muru,29 Wally’s Walk,N11,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,Dunmore Lang College,130 Herring Road,W25,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,IELTS / PTE Test Centre,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,Macquarie University Village,122 Culloden Road,F7,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,NextSense Centre of Excellence,2 Gymnasium Road,F9,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,NextSense School,131 Culloden Road,G7,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,Robert Menzies College,136 Herring Road,V26,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER LOCATIONS,Sports Fields & Tennis Centre Corner Talavera & Culloden Roads Student Accommodation,15-17 Gymnasium Road,K16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
